grid_size,initial_density,initial_complexity,initial_energy,r_mean,r_noise,env_sigma,birth_energy_threshold,p_down,gamma,beta,p_up,r,final_alive_ratio,final_c_mean,final_pc_serial,final_pc_env,collapse_detected,max_c_mean,min_alive_ratio,pc_serial_correlation,pc_env_correlation,c_p_correlation
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.95,0.9852,1.0913520097442144,1.0025830114052745,1.071943586153928,False,1.0974817221770918,0.5488,0.18444566026306408,0.1354108920257119,-0.9999871476364507
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.98,0.9928,1.0604351329572925,1.0259582440311228,1.041810364424235,False,1.0973843058350101,0.568,0.23826406367078554,0.1785404352886644,-0.9999986453742266
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.99,0.994,1.0672032193158953,1.0497550044829238,1.0484080647160838,False,1.103448275862069,0.5788,0.11726688868321584,0.09141715130874874,-0.9999997636350116
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.995,0.9964,1.0505820955439582,1.0420317585138477,1.0322042084450618,False,1.0751909931644552,0.5796,0.5314700890373003,0.34120235277811817,-0.999999920260935
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.95,0.988,1.1178137651821862,1.0260696132695988,1.0977237819830756,False,1.1530984204131227,0.5512,0.36213574517210395,0.2819916899242623,-0.999987667281171
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.98,0.9944,1.1206757843925985,1.0834534609700432,1.1005114872978075,False,1.146537842190016,0.562,0.3038451629628121,0.22880499210489622,-0.9999979046223166
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.99,0.994,1.1046277665995976,1.0863232471974629,1.0848786558157937,False,1.13970293054998,0.5792,0.15446188667465546,0.12838528592510803,-0.9999996499594526
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.995,0.9964,1.0855078281814532,1.0765603129310428,1.0662485830923043,False,1.1352870333199518,0.5836,0.5539963829201895,0.42110471306725145,-0.9999998930025823
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.08,0.95,0.9884,1.1845406717927964,1.0851180519028092,1.1626876936503787,False,1.2363194162950952,0.5316,0.3577770402708714,0.2961143685317463,-0.9999845214378097
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.08,0.98,0.9904,1.199919224555735,1.1589591082622928,1.1776509232256178,False,1.2455645161290323,0.566,0.3808852540007214,0.34345932760667724,-0.9999985684856836
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.08,0.99,0.9968,1.2014446227929374,1.180848343792534,1.179134941659116,False,1.2389558232931728,0.5832,0.8136082734899965,0.7318800642103992,-0.9999997541962712
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.08,0.995,0.9976,1.1948676824378508,1.1846296437686559,1.1727361784085741,False,1.209891435464415,0.5804,0.7151845947679878,0.6391054602550126,-0.9999998931237414
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.1,0.95,0.9868,1.227401702472639,1.1229242015056224,1.2043827901734352,False,1.2923763179237633,0.5404,0.12051250211595349,0.10620238352040354,-0.9999876414017682
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.1,0.98,0.9932,1.2368103101087393,1.1940579922226413,1.213531951082572,False,1.3015297906602254,0.568,0.2116587175530559,0.19192116611501303,-0.9999980766567141
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.1,0.99,0.9976,1.1804330392943063,1.160343696268875,1.1586904236609068,False,1.2833601286173633,0.5784,0.37376932858469586,0.3392526005106043,-0.9999995658856933
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.1,0.995,0.9976,1.2590216519647153,1.2479934588629602,1.2351257957093116,False,1.3009240658899157,0.584,0.7529592131301815,0.6875471973401798,-0.999999954738149
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.03,0.95,0.9852,1.0548112058465287,0.9700883195268509,1.0310371411333255,False,1.0864799025578562,0.5404,0.17367694061670144,0.08667409031607443,-0.9999926866736359
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.03,0.98,0.9916,1.0625252117789432,1.0279542843523783,1.0384798525650032,False,1.081255028157683,0.5636,0.0014786684812511783,0.005833402027850153,-0.9999990264263868
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.03,0.99,0.9944,1.0543041029766693,1.0371472844432887,1.0305478230485745,False,1.0692710430930326,0.5748,0.2720540672082711,0.11015154796639019,-0.9999997146199429
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.03,0.995,0.9956,1.0453997589393331,1.03690774591452,1.0219547702525282,False,1.0754716981132075,0.5748,0.44050282151227765,0.1716911838671332,-0.9999999347425369
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.05,0.95,0.9852,1.1234267153877386,1.0310489394869367,1.0971898324026228,False,1.133739837398374,0.5384,-0.009859660409252588,-0.0013797259545293456,-0.9999886131626634
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.05,0.98,0.9916,1.0935861234368698,1.057608214704532,1.0684340638113023,False,1.1319080274304154,0.5644,0.5139489436324424,0.2868033634076308,-0.9999986121734736
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.05,0.99,0.9956,1.0791482523101648,1.0614285112644553,1.0545134670229412,False,1.127906976744186,0.5768,0.35073637790995965,0.1844876513434998,-0.9999996005809954
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.05,0.995,0.9984,1.0925480769230769,1.0835196404023373,1.067433373363484,False,1.1160354552780016,0.5784,-0.11006546896574153,-0.052570333746854866,-0.9999999330690322
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.08,0.95,0.9824,1.1689739413680782,1.0713692141780295,1.1410404198954551,False,1.2260162601626017,0.5476,0.33040074714522494,0.20690925696590756,-0.9999853295813685
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.08,0.98,0.9908,1.1655228098506258,1.12620211570375,1.1377195703084932,False,1.2005661140315407,0.5636,0.2808914231785075,0.17716708105566123,-0.9999979177749637
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.08,0.99,0.9952,1.1262057877813505,1.1073999662238667,1.0998667969418559,False,1.1938980329185067,0.5688,0.2788652887777041,0.18172478916417154,-0.9999995470050715
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.08,0.995,0.9968,1.1203852327447834,1.111033889303167,1.0942598885741814,False,1.185363892239646,0.5804,0.44926095552736334,0.29038069272957473,-0.9999998951018731
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.1,0.95,0.984,1.2329268292682927,1.1277871971107234,1.20252781279313,False,1.2745336577453366,0.5332,0.1670685962489012,0.11058003950315239,-0.9999797911889621
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.1,0.98,0.9924,1.215235792019347,1.1735357612034707,1.1855285244609437,False,1.282897384305835,0.5628,0.6176957260752096,0.46577279212463596,-0.9999985987367846
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.1,0.99,0.9948,1.1708886208283071,1.1510274278104968,1.142882697127963,False,1.2364512244078683,0.5712,0.2105831367202387,0.14462009480002208,-0.9999995483465034
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.5,0.1,0.995,0.996,1.1730923694779116,1.1631169521442717,1.145003004718724,False,1.243656866693516,0.5812,0.3875614428071827,0.28844806175099513,-0.999999916932981
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.03,0.95,0.9888,1.0651294498381878,0.9792709510637319,1.0355977934245593,False,1.100451004510045,0.5344,-0.36443150430515014,-0.11568866552493373,-0.9999949636648403
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.03,0.98,0.9924,1.049173720274083,1.015200314020601,1.0203630431953348,False,1.075,0.5468,0.4821520282045663,0.15417393273200822,-0.9999984006138588
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.03,0.99,0.9936,1.0462962962962963,1.029319328591323,1.0176147373255484,False,1.0657051282051282,0.5776,0.4144755785539307,0.11074792105336351,-0.9999994983663986
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.03,0.995,0.994,1.0309859154929577,1.0226552403941165,1.0029867422082022,False,1.0608870967741935,0.5768,0.1901059022276684,0.059073045199544955,-0.9999999116501586
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.05,0.95,0.9864,1.083941605839416,0.9959981262443172,1.0535490140882948,False,1.1355311355311355,0.53,-0.0875228010111617,-0.030341773972664802,-0.9999916177998688
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.05,0.98,0.9928,1.0838033843674455,1.0482708150840776,1.0534171612553915,False,1.1124546553808947,0.5492,0.03256649926004967,0.017564655369211393,-0.9999973283660888
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.05,0.99,0.9916,1.064138765631303,1.0467599304532962,1.0346521212345963,False,1.103420523138833,0.5636,-0.018198891431501534,-0.000200012299063929,-0.9999995592608247
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.05,0.995,0.9956,1.0787464845319406,1.0698764332005355,1.0485928239748243,False,1.09312728751525,0.5704,0.26144888976633646,0.08854394633075273,-0.9999999280771844
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.08,0.95,0.9856,1.125405844155844,1.0327985119316663,1.0930740545129511,False,1.206601466992665,0.5332,0.17769944963997902,0.08892342641668156,-0.9999875939345102
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.08,0.98,0.9924,1.147118097541314,1.1086641368534271,1.1137480421744277,False,1.178225806451613,0.5584,0.3174906101335415,0.14834030059274547,-0.9999980353820558
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.08,0.99,0.9928,1.1180499597099114,1.099434323108854,1.0860663652157245,False,1.1835341365461847,0.5728,0.4027435171293258,0.1977782859250319,-0.9999996020767233
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.08,0.995,0.9952,1.120176848874598,1.1108279362030575,1.0880927619054896,False,1.170024174053183,0.5744,0.3201581015169526,0.16629212984411715,-0.9999998955281723
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.1,0.95,0.984,1.1735772357723577,1.0754320739648022,1.1389207103069305,False,1.2494920763917108,0.538,0.4180527916906234,0.20610400241073512,-0.9999750809236593
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.1,0.98,0.9932,1.1812323801852598,1.1411656926134974,1.1461993077909383,False,1.256234915526951,0.5604,0.46634109201734925,0.25858652162518314,-0.9999981204231826
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.1,0.99,0.9964,1.167402649538338,1.1476245457511913,1.133048423098395,False,1.2035398230088497,0.5644,0.41772398251105464,0.20684278111721974,-0.9999992747593722
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.7,0.1,0.995,0.9976,1.1551724137931034,1.1454110341449524,1.1214132163938013,False,1.1871980676328502,0.5748,0.5049600083392352,0.2282292785709741,-0.999999795547624
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.03,0.95,0.9832,1.0475996745321399,0.963665146321718,1.0110322287426865,False,1.078679168365267,0.528,0.043604913244685566,0.013564437188761491,-0.999990128979012
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.03,0.98,0.9916,1.0342880193626462,1.0009762275357679,0.9985125557452058,False,1.0671249494541044,0.5476,0.25069822661673524,0.059945140677301015,-0.9999992514581474
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.03,0.99,0.994,1.0398390342052315,1.0230065348709623,1.0037343349541143,False,1.0598605986059861,0.5624,0.33174979214115485,0.05960721476151515,-0.9999996450488439
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.03,0.995,0.9956,1.0373644033748493,1.028962480289759,1.0014066576736378,False,1.0565583634175693,0.572,0.12489580337296244,0.03125106671058997,-0.9999999498390932
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.05,0.95,0.9808,1.0848287112561175,0.9967860303136166,1.046001575998343,False,1.1137945149406467,0.5268,-0.1205554478136387,-0.023704682406184154,-0.9999873405772942
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.05,0.98,0.9896,1.0719482619240097,1.0369528497990053,1.0339103869335018,False,1.1021721641190667,0.5608,0.1659254669858515,0.0431320139147286,-0.9999983366177095
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.05,0.99,0.9936,1.070048309178744,1.052535659526477,1.0321261877450372,False,1.100162206001622,0.564,0.08936882263054086,0.026896510782879583,-0.9999995560517899
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.05,0.995,0.9948,1.0719742661841576,1.063181526411594,1.0339348057079756,False,1.0939895118999596,0.5708,0.2106204987975457,0.05345618614574214,-0.9999999151077851
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.08,0.95,0.9824,1.138843648208469,1.0447068331432492,1.0966207978540456,False,1.1868666396432914,0.53,0.24522417231565027,0.07784264993243128,-0.9999804891776357
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.08,0.98,0.994,1.1191146881287726,1.0819641523007395,1.0781482045486972,False,1.1648572577402494,0.5572,0.27012893534327265,0.08745680017937876,-0.999997949144822
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.08,0.99,0.9932,1.1111558598469593,1.0927003465759209,1.0706909662234239,False,1.1511817440912795,0.57,0.32032273371317604,0.09962200702690731,-0.9999995814406673
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.08,0.995,0.9944,1.1158487530168946,1.1065503254841609,1.0750884631425301,False,1.1455645161290322,0.5684,0.6103561609060434,0.2203953271447891,-0.9999999430660936
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.1,0.95,0.9852,1.18838814453918,1.0885117127577322,1.1429286376995982,False,1.2312091503267975,0.5284,0.3963441572112801,0.13924192249244505,-0.9999875462496772
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.1,0.98,0.9932,1.1461941200161097,1.1077834210743522,1.1034984495169715,False,1.2088709677419356,0.5496,0.24244951955395816,0.08908163663457627,-0.9999976689562581
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.1,0.99,0.9952,1.1519292604501608,1.1325188399928805,1.1088628920182577,False,1.1837144003208986,0.5732,0.29834361303471846,0.10022588494853066,-0.9999994097776237
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,1.0,0.1,0.995,0.9948,1.1334941696823482,1.1239891186426367,1.091613810115021,False,1.1795185638514891,0.5744,0.2096432522067556,0.06431508166300404,-0.9999998505247368
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.03,0.95,0.9868,1.0729631130928252,0.9862381222844194,1.054022438934358,False,1.088643790849673,0.5452,0.004922332766262404,0.00786292512018284,-0.9999960411966102
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.03,0.98,0.9932,1.080547724526782,1.045163051641813,1.0614147087559287,False,1.080547724526782,0.5664,0.47470660663501046,0.28425903548632653,-0.9999990989396024
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.03,0.99,0.9964,1.0537936571657969,1.0366482821823562,1.0353354520916918,False,1.0943775100401607,0.576,0.12882983259826863,0.09792205482078052,-0.9999999255041047
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.03,0.995,0.994,1.056338028169014,1.047722724883405,1.037816086442286,False,1.0875502008032127,0.5824,0.6265247297561732,0.43242922220931973,-0.9999999791709676
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.95,0.9868,1.090798540737738,1.0020895389257658,1.071404265875061,False,1.1292407108239095,0.5496,0.08408112784784914,0.06416616646527645,-0.999992355935552
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.98,0.994,1.1078470824949698,1.0712161419719832,1.0880149777371049,False,1.139450282942603,0.5484,0.6752077328366558,0.5175221982005491,-0.9999993898741303
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.99,0.9956,1.0827641623141824,1.0649618538674073,1.063574783951377,False,1.1337349397590362,0.57,0.22131941920048526,0.18610668133869374,-0.9999999175692688
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.995,0.998,1.0953907815631263,1.0863295501741352,1.075878979651756,False,1.116633266533066,0.58,0.4039142355007744,0.28473669122631573,-0.9999999545328881
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.95,0.9844,1.1840715156440471,1.084703414833246,1.1622311548085007,False,1.1992724333063864,0.5324,0.06466965649350202,0.052973238788229154,-0.9999909567660582
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.98,0.992,1.155241935483871,1.1164053825250615,1.1341708819727807,False,1.2220434432823812,0.5696,0.2581494804883041,0.21544052369350034,-0.9999992298320938
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.99,0.9948,1.1519903498190591,1.1325783522255974,1.1310053197391032,False,1.2167804094741068,0.5836,0.4426166170979602,0.3943381734213618,-0.9999998943672291
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.995,0.9944,1.1536604987932422,1.1439170458989538,1.1326313023567574,False,1.2032128514056224,0.58,0.17089285037945182,0.14768412863009364,-0.9999999672569854
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.95,0.9864,1.2043795620437956,1.1026276110303046,1.1819901708187401,False,1.262474645030426,0.5392,0.035640705843154125,0.032319222975810705,-0.9999888317634447
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.98,0.9932,1.221506242448651,1.1795000375407616,1.1986492566916724,False,1.265669227658714,0.5664,0.6684897619739659,0.5781117240385243,-0.9999992647680134
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.99,0.9968,1.206661316211878,1.1859379884358927,1.1842098698690817,False,1.2345132743362832,0.5756,0.3001675679359859,0.24495807500033237,-0.999999710801748
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.995,0.994,1.2185110663983902,1.2079845751826848,1.1957361571544114,False,1.2642570281124499,0.582,0.4931397068936776,0.4524736392873978,-0.9999999649502999
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.95,0.9868,1.053100932306445,0.9685646144573239,1.029386824744073,False,1.0798217179902756,0.526,0.09430143380555599,0.04333904366941082,-0.9999946809093015
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.98,0.992,1.047983870967742,1.0140637767854077,1.0244487372100524,False,1.0815831987075928,0.5652,0.14909095908617642,0.0742818466999366,-0.9999994587684762
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.99,0.9976,1.0505212510024058,1.0334494116872974,1.0268974479136346,False,1.082059533386967,0.5756,0.4662710768787437,0.21270252574543758,-0.9999999395990578
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.995,0.9968,1.0557784911717496,1.0471695112056751,1.031970485497977,False,1.0758426966292134,0.5756,0.7578414312070078,0.3411290642864659,-0.9999999736599844
